country_or_dependency,population_2020,yearly_change,net_change,density_p/km²,land_area_km²,migrants_net,fert_rate,med_age,urban_pop_%,world_share,total_population,percentage,percentage_formatted,urban_pop,rural_pop
BURKINA FASO,20997293,2.86 %,581895,76,273600,-25000.0,5.2,18,31 %,0.27 %,7808449406,0.27,0.27%,"6,509,160.83","14,488,132.17"
MALI,20346106,3.02 %,592802,17,1220190,-40000.0,5.9,16,44 %,0.26 %,7808449406,0.26,0.26%,"8,952,286.64","11,393,819.36"
ROMANIA,19214608,-0.66 %,-126866,84,230170,-73999.0,1.6,43,55 %,0.25 %,7808449406,0.25,0.25%,"10,568,034.40","8,646,573.60"
MALAWI,19211425,2.69 %,501205,203,94280,-16053.0,4.3,18,18 %,0.25 %,7808449406,0.25,0.25%,"3,458,056.50","15,753,368.50"
CHILE,19144605,0.87 %,164163,26,743532,111708.0,1.7,35,85 %,0.25 %,7808449406,0.25,0.25%,"16,272,914.25","2,871,690.75"
KAZAKHSTAN,18815231,1.21 %,225280,7,2699700,-18000.0,2.8,31,58 %,0.24 %,7808449406,0.24,0.24%,"10,912,833.98","7,902,397.02"
ZAMBIA,18468257,2.93 %,522925,25,743390,-8000.0,4.7,18,45 %,0.24 %,7808449406,0.24,0.24%,"8,310,715.65","10,157,541.35"
GUATEMALA,17971382,1.90 %,334096,167,107160,-9215.0,2.9,23,52 %,0.23 %,7808449406,0.23,0.23%,"9,345,118.64","8,626,263.36"
ECUADOR,17688599,1.55 %,269392,71,248360,36400.0,2.4,28,63 %,0.23 %,7808449406,0.23,0.23%,"11,143,817.37","6,544,781.63"
SYRIA,17571053,2.52 %,430523,95,183630,-427391.0,2.8,26,60 %,0.22 %,7808449406,0.23,0.23%,"10,542,631.80","7,028,421.20"
NETHERLANDS,17141544,0.22 %,37742,508,33720,16000.0,1.7,43,92 %,0.22 %,7808449406,0.22,0.22%,"15,770,220.48","1,371,323.52"
SENEGAL,16816539,2.75 %,447563,87,192530,-20000.0,4.7,19,49 %,0.21 %,7808449406,0.22,0.22%,"8,240,104.11","8,576,434.89"
CAMBODIA,16758448,1.41 %,232423,95,176520,-30000.0,2.5,26,24 %,0.21 %,7808449406,0.21,0.21%,"4,022,027.52","12,736,420.48"
CHAD,16502877,3.00 %,478988,13,1259200,2000.0,5.8,17,23 %,0.21 %,7808449406,0.21,0.21%,"3,795,661.71","12,707,215.29"
SOMALIA,15965848,2.92 %,450317,25,627340,-40000.0,6.1,17,47 %,0.20 %,7808449406,0.2,0.2%,"7,503,948.56","8,461,899.44"
ZIMBABWE,14899771,1.48 %,217456,38,386850,-116858.0,3.6,19,38 %,0.19 %,7808449406,0.19,0.19%,"5,661,912.98","9,237,858.02"
GUINEA,13191279,2.83 %,361549,53,245720,-4000.0,4.7,18,39 %,0.17 %,7808449406,0.17,0.17%,"5,144,598.81","8,046,680.19"
RWANDA,13005303,2.58 %,325268,525,24670,-9000.0,4.1,20,18 %,0.17 %,7808449406,0.17,0.17%,"2,340,954.54","10,664,348.46"
BENIN,12175480,2.73 %,322049,108,112760,-2000.0,4.9,19,48 %,0.16 %,7808449406,0.16,0.16%,"5,844,230.40","6,331,249.60"
BURUNDI,11948454,3.12 %,360204,463,25680,2001.0,5.5,17,14 %,0.15 %,7808449406,0.15,0.15%,"1,672,783.56","10,275,670.44"
TUNISIA,11839918,1.06 %,123900,76,155360,-4000.0,2.2,33,70 %,0.15 %,7808449406,0.15,0.15%,"8,287,942.60","3,551,975.40"
BOLIVIA,11700207,1.39 %,159921,11,1083300,-9504.0,2.8,26,69 %,0.15 %,7808449406,0.15,0.15%,"8,073,142.83","3,627,064.17"
BELGIUM,11598451,0.44 %,50295,383,30280,48000.0,1.7,42,98 %,0.15 %,7808449406,0.15,0.15%,"11,366,481.98","231,969.02"
HAITI,11426356,1.24 %,139451,414,27560,-35000.0,3.0,24,57 %,0.15 %,7808449406,0.15,0.15%,"6,513,022.92","4,913,333.08"
CUBA,11325391,-0.06 %,-6867,106,106440,-14400.0,1.6,42,78 %,0.15 %,7808449406,0.15,0.15%,"8,833,804.98","2,491,586.02"
SOUTH SUDAN,11216250,1.19 %,131612,18,610952,-174200.0,4.7,19,25 %,0.14 %,7808449406,0.14,0.14%,"2,804,062.50","8,412,187.50"
DOMINICAN REPUBLIC,10866667,1.01 %,108952,225,48320,-30000.0,2.4,28,85 %,0.14 %,7808449406,0.14,0.14%,"9,236,666.95","1,630,000.05"
CZECH REPUBLIC (CZECHIA),10712481,0.18 %,19772,139,77240,22011.0,1.6,43,74 %,0.14 %,7808449406,0.14,0.14%,"7,927,235.94","2,785,245.06"
GREECE,10413936,-0.48 %,-50401,81,128900,-16000.0,1.3,46,85 %,0.13 %,7808449406,0.13,0.13%,"8,851,845.60","1,562,090.40"
JORDAN,10220604,1.00 %,101440,115,88780,10220.0,2.8,24,91 %,0.13 %,7808449406,0.13,0.13%,"9,300,749.64","919,854.36"
PORTUGAL,10191409,-0.29 %,-29478,111,91590,-6000.0,1.3,46,66 %,0.13 %,7808449406,0.13,0.13%,"6,726,329.94","3,465,079.06"
AZERBAIJAN,10154978,0.91 %,91459,123,82658,1200.0,2.1,32,56 %,0.13 %,7808449406,0.13,0.13%,"5,686,787.68","4,468,190.32"
SWEDEN,10110233,0.63 %,62886,25,410340,40000.0,1.9,41,88 %,0.13 %,7808449406,0.13,0.13%,"8,897,005.04","1,213,227.96"
HONDURAS,9931333,1.63 %,158490,89,111890,-6800.0,2.5,24,57 %,0.13 %,7808449406,0.13,0.13%,"5,660,859.81","4,270,473.19"
UNITED ARAB EMIRATES,9910892,1.23 %,119873,118,83600,40000.0,1.4,33,86 %,0.13 %,7808449406,0.13,0.13%,"8,523,367.12","1,387,524.88"
HUNGARY,9655983,-0.25 %,-24328,107,90530,6000.0,1.5,43,72 %,0.12 %,7808449406,0.12,0.12%,"6,952,307.76","2,703,675.24"
TAJIKISTAN,9573310,2.32 %,216627,68,139960,-20000.0,3.6,22,27 %,0.12 %,7808449406,0.12,0.12%,"2,584,793.70","6,988,516.30"
